bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_ses-008_acq-original_T2w	1.3501985915492958	0.6673517171727233	0.4978	-1.0	2.7072770317406056	2.5926436776131294	2.926062456398272	2.6031249612104155	0.2673108782339724	0.3540766633611497	0.3786124584048778	0.98881396651268	0.36096586287021637	0.0	0.0024240843399627164	8.356615595115901	8.1960913730965	8.229822930132492	240	320	320	1.5954735696153968	5.041911279620324	4.436486518798586	6.6720747071600375	20.433683642957543	16.881094994798467	17.170845132768886	14.197756760550648	0.7996355295181274	0.800000011920929	0.800000011920929	316.9621	0.0	6.4659	0.0	6888974.0	0.0	18.0	52.0039	-1.209	1583.7209	1665.4821	1622.0	776745.5349681675	110.0	3394.0	1016.6254	57.3339	157.984	1337.6992	1340.0	1028867.4711602022	937.0	1757.0	265.7721	106.8191	129.6083	1137.7104	1127.0	1100162.9955811303	905.0	1398.0	168.9129	0.21700762351093755	0.5141223307721339	0.5297141534301185	0.29494616471327345
sub-001_ses-008_acq-undistorted_T2w	1.3877554585152838	0.6599098065792766	0.5047	4090.6405	2.5921955472445273	2.4950617204344354	2.798512458298915	2.483012463000231	0.2692526282614594	0.34966716553289573	0.38108020620564487	1.0023471117019653	0.3281096816062927	0.0	0.0019394230076559549	8.364486433113209	8.208655746980039	8.244866284249312	240	320	320	1.526253316417823	4.522816775661282	4.178636337394643	6.486838920104824	20.34525060855967	16.213376672617027	16.668446609031765	13.446712545918594	0.7996355295181274	0.800000011920929	0.800000011920929	317.3084	0.0	6.3224	0.0	6917528.0	0.0	18.0	54.2264	-1.2474	1735.1788	1731.7795	1684.0	781573.3364622341	39.0	3609.0	1103.3548	43.7971	187.2575	1339.0826	1342.0	1014996.7150978271	897.0	1812.0	296.7176	121.0075	130.5385	1126.0406	1113.0	1106180.9503847838	891.0	1395.0	171.5781	0.21515472348975484	0.5053223831974699	0.5243720404363247	0.28618527820652495
sub-001_ses-009_acq-original_T2w	1.4142452488687782	0.6494883890765053	0.4964	4511.7165	2.777299958615006	2.673562460160815	2.9591124559057884	2.6992249597784137	0.2646399881416735	0.3547093614976629	0.3806506503606636	0.9831580519676208	0.3268075883388518	0.0	0.0032881929130626915	8.345275813022639	8.187078394217716	8.223766180646418	240	320	320	1.6388568874645608	4.740603871478828	4.269447471648178	6.428881656001144	22.89383041108836	18.69754538982517	19.082778113088676	15.656958538352495	0.800000011920929	0.800000011920929	0.800000011920929	402.7209	0.0	6.5513	0.0	6926998.0	0.0	18.0	47.6175	-1.112	1563.2768	1706.7083	1664.0	769477.5508695254	135.0	3451.0	1015.3412	54.573	176.6287	1359.3673	1359.0	1031366.7736774439	926.0	1814.0	286.6722	95.9579	135.9195	1146.9688	1138.0	1106794.6769239272	899.0	1417.0	177.0136	0.22221255986279842	0.5100601498317431	0.5280145340760926	0.2866405314121356
sub-001_ses-009_acq-undistorted_T2w	1.4399177215189873	0.6454275811166625	0.5005	3940.9078	2.659829127032124	2.570237461700477	2.832999957785011	2.576249961610884	0.26779236115347327	0.3499877773492904	0.38221986149723647	0.9982062578201294	0.30070865750312814	0.0	0.0020417815245743786	8.349377223616756	8.195963179285146	8.234743636413986	240	320	320	1.5626237701010948	4.300564859249818	4.044618528554683	6.270666956313139	22.33211751361431	17.650413435556953	18.186453422333603	14.57682931782955	0.800000011920929	0.800000011920929	0.800000011920929	395.7516	0.0	6.4831	0.0	6912274.0	0.0	18.0	50.5167	-1.1717	1717.126	1767.7077	1722.0	778242.896315895	58.0	3676.0	1101.992	40.5944	204.162	1360.9341	1361.0	1017114.5298777751	888.0	1868.0	316.4699	100.7918	137.0985	1135.4237	1124.0	1110785.5756594702	885.0	1413.0	179.2472	0.21799254519671887	0.49991624363991255	0.5208652795537383	0.27943044783151627
sub-001_ses-010_acq-original_T2w	1.3348490291262136	0.681420567692662	0.4997	-1.0	2.675696900494652	2.546828283146231	2.923912456430309	2.5563499619074173	0.2680127865612035	0.35589976115380345	0.3760874522849931	0.9953474700450897	0.3982564032077789	0.0	0.0035930395437496787	8.358955136353442	8.199335102913249	8.231534547408176	240	320	320	1.5857081083242413	5.243641489202961	4.515775290194868	6.717976273057403	28.469041338961375	24.37290974006133	24.46558240066993	20.554796122987085	0.7998576164245605	0.800000011920929	0.800000011920929	603.2816	0.0	4.0727	0.0	6942938.0	0.0	17.0	35.3468	-1.2387	1509.8517	1576.7159	1536.0	778433.4905814109	95.0	3207.0	968.6518	59.8343	147.7971	1313.905	1315.0	1033698.0445102	930.0	1709.0	250.7798	93.8725	127.1818	1119.3781	1109.0	1092332.4666796166	889.0	1375.0	165.0794	0.21370060325971835	0.513566767267381	0.5255258301178437	0.3020614329868955
sub-001_ses-010_acq-undistorted_T2w	1.427813888888889	0.6543333385461667	0.5054	-1.0	2.5532197950514663	2.441084462917225	2.7894624584337704	2.4291124638034036	0.2688349218338842	0.3509499227574576	0.3802151554086583	1.020432472229004	0.38981473445892334	0.0	0.0014453716917706115	8.367571691402565	8.209279365437213	8.243293033978722	240	320	320	1.5105105207021308	4.668760176932455	4.253265268948051	6.580525109209569	27.81787887214935	23.027119091527776	23.365153236632462	19.25046174622026	0.7998576164245605	0.800000011920929	0.800000011920929	575.4904	0.0	3.8517	0.0	6969308.0	0.0	16.0	37.4695	-1.2809	1661.8748	1636.8556	1591.0	779981.7814987749	20.0	3391.0	1053.2856	48.8042	179.2884	1314.2403	1317.0	1018225.4005614738	890.0	1762.0	282.0876	94.0031	129.1194	1112.6231	1101.0	1103133.8199868498	878.0	1376.0	167.3118	0.21649092342507265	0.5074438017971856	0.5236572220895709	0.291878018458962
sub-001_ses-011_acq-original_T2w	1.3530235576923078	0.6748864823752522	0.4929	-1.0	2.684637459995784	2.578174961582199	2.910237456634083	2.5654999617710716	0.26667066999249056	0.3553383192727468	0.37799101073476266	0.9874757528305054	0.3446997702121736	0.0	0.002390049604425153	8.358472981427534	8.195942425699396	8.228912836909354	240	320	320	1.5800795382889483	5.107664110418445	4.455111903269196	6.677592061100195	31.555083874280264	26.349295925477684	26.696348455397857	22.184665566435616	0.800000011920929	0.800000011920929	0.800000011920929	657.9644	0.0	3.9912	0.0	6858591.0	0.0	17.0	32.7204	-1.2188	1549.8721	1622.8923	1576.0	774737.7643283075	97.0	3316.0	997.4175	59.9138	153.9108	1313.1671	1316.0	1032337.0585197781	923.0	1717.0	257.6519	101.1878	127.5181	1120.1917	1108.0	1098148.1788045673	891.0	1377.0	165.928	0.21570475048436155	0.5144929099743724	0.5278320441635782	0.2949754489920604
sub-001_ses-011_acq-undistorted_T2w	1.450751376146789	0.647844319849965	0.4984	-1.0	2.5647582951154564	2.4746999631240967	2.777862458606624	2.441712463615649	0.2697915538519644	0.35042191363303604	0.37978653251499955	1.012317419052124	0.3257914304733275	0.0	0.001818348383483575	8.371944824959941	8.212719723070999	8.247295853723056	240	320	320	1.5099839133107966	4.607811015021705	4.210948050082435	6.515049221914806	29.702445565731555	23.93147860699804	24.544643846363474	20.000007366360833	0.800000011920929	0.800000011920929	0.800000011920929	606.6221	0.0	3.8102	0.0	6895511.0	0.0	17.0	36.3273	-1.2509	1707.9467	1700.154	1647.0	782508.0097949039	28.0	3545.0	1090.7394	48.1737	185.4627	1324.2074	1327.0	1016369.6761832938	893.0	1780.0	287.9891	109.0071	130.8011	1121.12	1109.0	1101539.3160465166	885.0	1387.0	170.2212	0.21227811632947532	0.504661027877893	0.5220085501951199	0.2858741959635403
sub-001_ses-015_acq-original_T2w	1.3764916279069768	0.6673430272478612	0.4876	4554.5542	2.7313068919349166	2.616295758917838	2.9527124560011555	2.6249124608857564	0.268452901430182	0.35142419190393104	0.38012290666588694	0.9581344723701477	0.3747850567102433	0.0	0.0027414345727412815	8.372016903637439	8.212510911268737	8.247234565880769	240	320	320	1.6499756878896952	4.839109971312045	4.332789336915169	6.509282351543765	45.34072177353513	36.20674696979212	37.28563488454855	30.309435910318406	0.7997413873672485	0.800000011920929	0.800000011920929	1004.7285	0.0	4.6255	0.0	6891859.0	0.0	18.0	23.8845	-1.1644	1559.4984	1683.231	1653.0	778499.9919429701	114.0	3335.0	1001.8323	51.0602	164.3484	1319.1875	1320.0	1019112.585888469	911.0	1756.0	272.7773	105.9791	131.5973	1117.3342	1105.0	1102337.4238094958	885.0	1378.0	169.7575	0.21617238728678126	0.5080353254180916	0.5255942536993722	0.29593267028645015
sub-001_ses-015_acq-undistorted_T2w	1.4469867841409692	0.645681723398036	0.4906	4152.8727	2.6038074447505033	2.505409913317256	2.812024958097563	2.493987462836691	0.27132324466880847	0.34638909003883395	0.38228766529235775	0.9832289218902588	0.35116643905639655	0.0	0.0025154234460999137	8.37692686121659	8.221772080454938	8.25793839967028	240	320	320	1.575050331547884	4.351333337816474	4.088137817892916	6.338029784314389	34.713693738993065	26.65947245384386	27.820622689119535	22.08870187452169	0.7997413873672485	0.800000011920929	0.800000011920929	691.397	0.0	4.9185	0.0	6950061.0	0.0	18.0	32.5363	-1.1896	1721.0193	1753.8122	1724.0	786336.2761101779	42.0	3546.0	1094.5675	41.3545	195.1649	1323.4575	1324.0	1003888.5812338312	874.0	1814.0	304.2744	117.9114	133.3011	1109.9361	1097.0	1107928.1448804105	872.0	1379.0	173.0821	0.2119002108254846	0.49866908354626616	0.5184131367705126	0.2846812379966843
sub-001_ses-016_acq-original_T2w	1.384077777777778	0.6656406729707192	0.4907	-1.0	2.7127539282472086	2.6003868672623924	2.927887456371077	2.609987461108156	0.26922676679378726	0.3513868180970333	0.3793864151091795	0.9846528470516205	0.34067703783512115	0.0	0.0027037952116248758	8.336858155860075	8.180505463074788	8.216487507428198	240	320	320	1.6204337838345253	4.758570786300455	4.294343164464459	6.504024923258398	27.357106696254537	22.314623834227966	22.767574134604814	18.630991873331933	0.8003039956092834	0.800000011920929	0.800000011920929	533.5331	0.0	5.1456	0.0	6966782.0	0.0	18.0	40.0164	-1.1875	1609.1175	1713.8021	1671.0	783719.1185863502	120.0	3461.0	1031.2047	44.7284	176.1937	1362.4325	1363.0	1022887.028067315	931.0	1823.0	286.4304	95.9609	135.2238	1149.2008	1138.0	1104393.8550164346	906.0	1421.0	174.9685	0.2163646591389566	0.5082614492440802	0.5252704811034602	0.29353304380228185
sub-001_ses-016_acq-undistorted_T2w	1.4691584033613447	0.640064552402034	0.4967	-1.0	2.593908479431225	2.4986755170172534	2.795937458337285	2.487112462939136	0.27158658005628916	0.34690330519792917	0.3815101147457817	1.0020671486854553	0.3134472131729127	0.0	0.0022746694984221256	8.349041907993414	8.195035664307259	8.232879931879124	240	320	320	1.546457414276988	4.269145585329847	4.026432856496907	6.263695569883886	27.12003661773263	21.293103035865506	22.005972569817335	17.604778055853867	0.8003039956092834	0.800000011920929	0.800000011920929	519.8569	0.0	4.9241	0.0	6997548.0	0.0	18.0	42.2746	-1.2175	1784.0461	1795.9065	1750.0	789414.7378736017	45.0	3710.0	1131.6179	36.1746	210.8973	1373.0751	1374.0	1008336.2060214864	893.0	1894.0	321.8441	108.4322	138.7624	1149.3219	1136.0	1108927.0580517948	897.0	1433.0	181.3625	0.21369960246009118	0.49937561974915684	0.5198293789670406	0.2829502073305292
sub-001_ses-018_acq-original_T2w	1.566334597156398	0.608706844731407	0.4907	-1.0	2.6843396641449684	2.557231574328519	2.9133499565877026	2.582437461518683	0.2655229798245866	0.3517249519943492	0.38275206818106405	0.9829520881175995	0.32026525735855094	0.0	0.0012718454337121991	8.354197930339538	8.18711031771738	8.221822703318281	240	320	320	1.6349236574425765	4.665264006049374	4.220637315493197	6.36172428298764	25.25787636516163	19.922734656085243	20.67306508822932	16.838584243441087	0.8001700043678284	0.800000011920929	0.800000011920929	414.3829	0.0	6.662	0.0	6725366.0	0.0	19.0	44.8207	-1.1567	1646.5492	1764.4271	1728.0	771640.0493833171	122.0	3533.0	1056.9294	52.8928	191.1027	1361.6992	1363.0	1022152.8076611817	924.0	1825.0	292.1591	107.0653	139.3939	1163.3025	1152.0	1112321.1444369864	912.0	1439.0	181.0829	0.22132848142104639	0.509593810918078	0.5282795216734189	0.2912909974317053
sub-001_ses-018_acq-undistorted_T2w	1.6840236363636365	0.5853138974460436	0.4966	3967.7338	2.5674758653813945	2.4579401742931366	2.7830249585296967	2.461462463321351	0.2686854601813473	0.3474105482694601	0.38390399154919247	0.9943796992301941	0.3027474462985993	0.0	0.0013599933378171095	8.369261854145572	8.206085996735874	8.242595716596997	240	320	320	1.5693122237640122	4.216564997937218	3.9885999843420934	6.17992273132505	24.343545261997686	18.3755372093884	19.376941118893196	15.411740885293499	0.8001700043678284	0.800000011920929	0.800000011920929	380.3386	0.0	6.6828	0.0	6761948.0	0.0	19.0	48.6302	-1.1681	1808.5376	1844.8261	1807.0	779413.2621245105	46.0	3759.0	1151.4591	38.7263	227.979	1364.1146	1364.0	1007782.0680747149	883.0	1881.0	323.4859	107.5963	142.5062	1155.5072	1144.0	1113643.6716524235	896.0	1441.0	185.1155	0.21586275879471675	0.4988106404785764	0.5197749310396523	0.2808784107752394
sub-001_ses-019_acq-original_T2w	1.743276923076923	0.5638214581705552	0.47	3885.4444	2.7701647441806503	2.609956817486577	2.9825249555569147	2.7180124594984583	0.26960174318016794	0.3495182233303012	0.38088003348953087	0.9958981871604919	0.38309625983238216	0.0	0.002361977189415357	8.297685225765976	8.135105950376564	8.175514333664546	240	320	320	1.6074824046157585	4.065771736202469	3.8203345279809544	5.787749443124636	24.62520041482337	19.551090434120532	20.186548652042827	16.38335510718458	0.8008178472518921	0.800000011920929	0.800000011920929	440.5092	0.0	10.5381	0.0	6719152.0	0.0	37.0	45.7062	-1.2381	1743.1197	1774.33	1718.0	787828.0573552102	146.0	3548.0	1068.7513	39.835	234.3893	1362.5407	1364.0	1021359.356391622	857.0	1893.0	335.4835	88.5577	150.8749	1151.9902	1143.0	1113004.5871732987	871.0	1450.0	197.486	0.22323290145714594	0.5048226241645463	0.525579793767369	0.2904471010018282
sub-001_ses-019_acq-undistorted_T2w	1.885044351464435	0.5382960216440017	0.4704	3547.7288	2.6452435436614468	2.5009932119682388	2.8415499576576058	2.5931874613584953	0.27287129395106724	0.34569532340895975	0.3814333826399731	1.0124105215072632	0.33635926246643066	0.0	0.0025256806323553345	8.31876096660321	8.15788549092108	8.198989505999915	240	320	320	1.5325002595290556	3.7309740044787016	3.6142931663796367	5.579405235131152	22.746789252192304	17.27360622218305	18.139692328030666	14.398681509716651	0.8008178472518921	0.800000011920929	0.800000011920929	375.2773	0.0	11.6113	0.0	6763205.0	0.0	39.0	54.4632	-1.2391	2025.4745	1954.9569	1891.0	795534.7008203557	65.0	3980.0	1233.9305	27.7373	287.6112	1435.7414	1436.0	1007847.405643408	856.0	2048.0	384.8859	95.8119	162.9144	1206.8258	1197.0	1112038.8940428537	900.0	1533.0	214.5389	0.21593247909535812	0.4951920321471564	0.5171097459742796	0.278258406499854
sub-001_ses-020_acq-original_T2w	1.5550544117647058	0.6144495300065091	0.496	4365.2914	2.725001405339139	2.57819179941642	2.9339374562809253	2.662874960320071	0.26765520140116283	0.35117574268285345	0.38116905591598366	0.9624532461166382	0.3378556311130524	0.0	0.0023312261411206616	8.342763185562935	8.17997101868141	8.215127912069189	240	320	320	1.6540929000358218	4.738077281795698	4.313815544653472	6.549276452128894	26.424922604806746	21.136762011416934	21.819617583536342	17.89716813438534	0.7995021939277649	0.800000011920929	0.800000011920929	485.4693	0.0	7.5349	0.0	6818384.0	0.0	30.0	41.2545	-1.1811	1578.6276	1701.6155	1664.0	778731.5673658215	134.0	3385.0	1005.9888	46.159	185.0746	1331.0688	1331.0	1021731.0744893552	909.0	1777.0	280.9155	99.3202	132.1565	1135.9809	1127.0	1108995.359667667	895.0	1398.0	172.08	0.21781816515602687	0.507149357999383	0.5233456116657628	0.30039377783533694
