bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-pilot010_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3467	0.2503	0.2806	0.0023	2.2972	1.0947	0.8488	0.571	0.584	0.0	0.0	26.2656	127.3673	160.4444	113.7778	51.3611	6.5432	278	99.28571428571429	0.6147	40.0303	15.1172	1.3206	4.37	4.29	4.29	2.78	1.76	2.59	2.41	1.73	1.44	33.33	196.82	172.92	198.71	707.8122	8.8956	28.3316	9.0	1516169.0	2.0	112.0	104.2654	8.3552	192.7383	438.2007	333.0	338323.0	115.0	1180.0	357.668	10.8	81.5431	233.7624	226.0	91254.0	107.0	391.0	92.3623
sub-001_ses-pilot010_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3207	0.2364	0.2582	0.0029	2.4096	1.1676	0.9283	0.5472	0.5343	0.0	0.0	28.4722	196.0	333.0625	333.0625	150.0625	5.9272	278	99.28571428571429	0.7251	35.5825	9.6817	0.9905	5.0	5.05	5.05	3.16	1.99	2.85	2.12	1.96	1.33	29.37	152.94	125.66	191.22	461.7325	7.413	34.3485	7.0	854891.0	1.0	159.0	110.7428	7.1896	213.4947	481.7833	381.0	181909.0	133.0	1209.0	357.8844	20.0817	88.9561	273.983	263.0	45126.0	131.0	457.0	111.5707
sub-001_ses-pilot011_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1852	0.0865	0.0886	0.0016	2.169	1.0031	0.7739	0.5739	0.6007	0.0	0.0	31.5306	196.0	210.25	113.7778	49.0	11.7195	140	99.29078014184397	0.866	29.652	15.2632	1.3206	5.23	5.15	5.15	3.41	3.11	2.89	1.75	1.87	1.08	69.22	349.87	352.76	385.95	796.7676	7.413	24.8682	7.0	1447262.0	1.0	96.0	102.1945	7.9944	169.0167	398.2286	301.0	343282.0	106.0	1066.0	319.8438	28.0829	77.0953	215.0781	208.0	116065.0	79.0	366.0	102.9341
sub-001_ses-pilot011_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1551	0.0628	0.0691	0.0045	2.1553	1.0673	0.8145	0.5269	0.5424	0.0	0.0	38.44	256.0	473.0625	315.0625	132.25	6.0232	140	99.29078014184397	0.8312	26.6868	9.8097	0.9905	6.31	6.33	6.33	4.37	3.72	3.64	2.12	2.26	1.32	61.27	298.93	216.71	387.12	727.7194	5.9304	26.7114	5.0	809507.0	1.0	121.0	102.8949	6.2371	186.8079	429.3183	337.0	184093.0	117.0	1074.0	314.644	22.0274	81.5431	246.6256	239.0	52502.0	103.0	413.0	109.9392
sub-001_ses-pilot012_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1434	0.0496	0.0319	0.0028	2.3319	1.1324	0.9147	0.6017	0.6052	0.0	0.0	26.5625	127.3673	128.3265	100.0	41.3265	9.4492	140	99.29078014184397	0.4946	41.5129	15.7337	1.3206	4.32	4.14	4.14	2.78	2.51	2.38	1.37	1.46	0.85	66.21	417.65	391.96	385.95	674.1653	7.413	28.4913	8.0	1509054.0	2.0	116.0	101.2729	8.9855	201.6339	455.5848	342.0	345438.0	112.0	1243.0	386.3686	24.366	96.3691	242.3513	231.0	114438.0	86.0	427.0	118.5547
sub-001_ses-pilot012_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1286	0.0433	0.0309	0.0009	2.3683	1.1562	0.936	0.5587	0.5498	0.0	0.0	41.12	219.04	243.36	225.0	100.0	6.5396	140	99.29078014184397	0.8136	28.9107	9.9045	0.9905	6.52	6.51	6.51	4.63	4.06	3.81	1.95	2.4	0.98	59.11	330.81	301.25	387.12	547.4753	5.9304	31.6946	6.0	851945.0	1.0	149.0	107.2734	7.1194	213.4947	477.6092	375.0	184855.0	124.0	1214.0	362.6899	12.7848	100.817	270.9774	263.0	53788.0	99.0	468.0	124.236
sub-001_ses-pilot013_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1467	0.0742	0.0476	0.003	2.0978	0.9826	0.7652	0.581	0.609	0.0	0.0	36.0	147.449	205.4444	110.25	49.0	9.7185	140	99.29078014184397	0.7285	28.9107	15.2719	1.3206	5.24	5.06	5.06	3.25	2.92	2.77	1.61	1.75	1.01	68.0	343.39	345.62	406.58	716.2622	7.413	26.5889	8.0	1513517.0	2.0	102.0	108.2253	8.0995	169.0167	394.1146	300.0	340975.0	110.0	1037.0	310.7059	25.3405	74.1301	211.1505	205.0	113059.0	84.0	353.0	94.0783
sub-001_ses-pilot013_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1353	0.0487	0.0444	0.005	2.1046	1.0092	0.781	0.5199	0.5379	0.0	0.0	64.25	420.25	473.0625	297.5625	126.5625	4.1146	140	99.29078014184397	0.8675	23.7216	9.9308	0.9905	6.82	6.89	6.89	4.25	3.88	3.71	1.83	2.31	0.94	60.7	269.24	249.54	389.09	523.8244	5.9304	29.3836	5.0	853949.0	0.0	136.0	113.0171	6.798	183.8427	420.5332	329.0	182851.0	118.0	1063.0	312.832	21.1887	81.5431	243.0677	233.0	53742.0	108.0	413.0	109.4148
sub-001_ses-pilot014_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2613	0.1164	0.1064	0.0126	2.2007	1.0473	0.7947	0.581	0.5944	0.0	0.0	29.4694	139.2857	210.25	121.0	49.0	17.5766	140	99.29078014184397	0.7962	48.9259	15.4263	1.3206	3.57	3.42	3.42	2.3	2.13	1.89	1.14	1.18	0.77	65.82	351.76	314.35	401.59	805.5743	5.9304	24.6206	7.0	1509644.0	2.0	94.0	104.0512	10.4339	170.4993	411.4433	311.0	344848.0	111.0	1095.0	334.9105	18.3724	83.0257	224.1252	219.0	115429.0	88.0	370.0	97.3019
sub-001_ses-pilot015_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2514	0.1175	0.1079	0.0105	2.2696	1.0824	0.8707	0.6902	0.6949	0.0	0.0	12.0178	36.8622	42.7515	25.0	14.5785	17.025	279	99.64285714285714	0.6835	41.5129	19.4686	7.9236	3.62	3.51	3.51	2.38	1.65	2.09	1.27	1.52	1.02	45.72	272.74	229.2	250.96	225.7309	17.7912	37.7515	18.0	990631.0	3.0	127.0	81.1422	7.0224	148.2602	328.1364	276.0	381185.0	92.0	762.0	218.6947	2.9678	74.1301	198.4176	195.0	101853.0	85.0	324.0	75.7501
